route_id,service_id,trip_id,trip_headsign,direction_id,direction_name,block_id,shape_id,wheelchair_accessible,trip_bikes_allowed,trip_headsign_short
848,65078-1111100-0,12196746,"Lakeside",0,North,11504,848_0_41,1,2,Lakeside
848,65078-1111100-0,12196804,"Lakeside",0,North,11503,848_0_41,1,2,Lakeside
848,65078-1111100-0,12196762,"Lakeside",0,North,11501,848_0_41,1,2,Lakeside
848,65078-1111100-0,12196784,"Lakeside",0,North,11502,848_0_41,1,2,Lakeside
848,65078-1111100-0,12196698,"Lakeside",0,North,84801,848_0_41,1,2,Lakeside
848,65078-1111100-0,12196718,"Lakeside",0,North,11504,848_0_41,1,2,Lakeside
848,65078-1111100-0,12196766,"Lakeside",0,North,86404,848_0_41,1,2,Lakeside
848,65078-1111100-0,12196745,"El Cajon Transit Ctr",1,South,11501,848_1_42,1,2,El Caj TC
848,65078-1111100-0,12196725,"El Cajon Transit Ctr",1,South,84801,848_1_42,1,2,El Caj TC
848,65078-1111100-0,12196747,"El Cajon Transit Ctr",1,South,11501,848_1_42,1,2,El Caj TC
848,65078-1111100-0,12196769,"El Cajon Transit Ctr",1,South,11502,848_1_42,1,2,El Caj TC
848,65078-1111100-0,12196735,"El Cajon Transit Ctr",1,South,11505,848_1_42,1,2,El Caj TC
848,65078-1111100-0,12196736,"El Cajon Transit Ctr",1,South,84801,848_1_42,1,2,El Caj TC
848,65078-1111100-0,12196714,"El Cajon Transit Ctr",1,South,84802,848_1_42,1,2,El Caj TC
848,65078-1111100-0,12196809,"El Cajon Transit Ctr",1,South,11504,848_1_42,1,2,El Caj TC
848,65078-1111100-0,12196793,"El Cajon Transit Ctr",1,South,11503,848_1_42,1,2,El Caj TC
848,65078-1111100-0,12196751,"El Cajon Transit Ctr",1,South,11501,848_1_42,1,2,El Caj TC
848,65078-1111100-0,12196773,"El Cajon Transit Ctr",1,South,11502,848_1_42,1,2,El Caj TC
848,65078-1111100-0,12196720,"El Cajon Transit Ctr",1,South,11505,848_1_42,1,2,El Caj TC
848,65078-1111100-0,12196701,"El Cajon Transit Ctr",1,South,84801,848_1_42,1,2,El Caj TC
848,65078-1111100-0,12196768,"El Cajon Transit Ctr",1,South,84802,848_1_42,1,2,El Caj TC
848,65078-1111100-0,12196813,"El Cajon Transit Ctr",1,South,11504,848_1_42,1,2,El Caj TC
848,65078-1111100-0,12196797,"El Cajon Transit Ctr",1,South,11503,848_1_42,1,2,El Caj TC
