trip_id,shape_id
12196446,936_0_49
12196462,936_0_49
12196416,936_0_49
12196432,936_0_49
12196448,936_0_49
12196464,936_0_49
12196418,936_0_49
12196434,936_0_49
12196450,936_0_49
12196466,936_0_49
12196420,936_0_49
12196436,936_0_49
12196452,936_0_49
12196468,936_0_49
12196422,936_0_49
12196438,936_0_49
12196454,936_0_49
12196355,936_0_49
12196409,936_1_50
12196425,936_1_50
12196441,936_1_50
12196457,936_1_50
12196411,936_1_50
12196427,936_1_50
12196443,936_1_50
12196459,936_1_50
12196413,936_1_50
12196429,936_1_50
12196445,936_1_50
12196461,936_1_50
12196415,936_1_50
12196431,936_1_50
12196447,936_1_50
12196463,936_1_50
12196417,936_1_50
12196433,936_1_50
12196449,936_1_50
12196465,936_1_50
12196419,936_1_50
12196435,936_1_50
12196451,936_1_50
12196467,936_1_50
12196421,936_1_50
12196437,936_1_50
12196453,936_1_50
12196469,936_1_50
12196354,936_1_50
12196439,936_1_50
12196455,936_1_50
12196356,936_1_50
12196913,815_2_16
12196914,815_2_16
12196915,815_2_16
12196928,815_2_16
12196929,815_2_16
12196916,815_2_16
12196930,815_2_16
12196917,815_2_16
12196931,815_2_16
12196918,815_2_16
12196932,815_2_16
12196919,815_2_16
12196933,815_2_16
12196920,815_2_16
12196934,815_2_16
12196921,815_2_16
12196935,815_2_16
12196922,815_2_16
12196936,815_2_16
12196923,815_2_16
12196975,815_2_16
12196924,815_2_16
12196925,815_2_16
12196926,815_2_16
12196898,815_3_17
12196899,815_3_17
12196900,815_3_17
12196974,815_3_17
12196901,815_3_17
12196938,815_3_17
12196902,815_3_17
12196939,815_3_17
12196903,815_3_17
12196904,815_3_17
12196940,815_3_17
12196905,815_3_17
12196941,815_3_17
12196906,815_3_17
12196942,815_3_17
12196907,815_3_17
12196943,815_3_17
12196908,815_3_17
12196937,815_3_17
12196909,815_3_17
12196927,815_3_17
12196910,815_3_17
12196911,815_3_17
12196912,815_3_17
12197130,848_0_41
12197146,848_0_41
12197132,848_0_41
12197148,848_0_41
12197134,848_0_41
12197150,848_0_41
12197136,848_0_41
12197152,848_0_41
12197138,848_0_41
12197154,848_0_41
12197140,848_0_41
12197156,848_0_41
12197142,848_0_41
12197158,848_0_41
12197144,848_0_41
12197160,848_0_41
12197145,848_1_42
12197131,848_1_42
12197147,848_1_42
12197133,848_1_42
12197149,848_1_42
12197135,848_1_42
12197151,848_1_42
12197137,848_1_42
12197153,848_1_42
12197139,848_1_42
12197155,848_1_42
12197141,848_1_42
12197157,848_1_42
12197143,848_1_42
12197159,848_1_42
12196944,855_0_20
12196945,855_0_20
12196946,855_0_20
12196947,855_0_20
12196948,855_0_20
12196949,855_0_20
12196950,855_0_20
12196951,855_0_20
12196952,855_0_20
12196953,855_0_20
12196954,855_0_20
12196955,855_0_20
12196956,855_0_20
12196957,855_0_20
12196958,855_0_20
12196959,855_1_23
12196960,855_1_23
12196961,855_1_23
12196962,855_1_23
12196963,855_1_23
12196964,855_1_23
12196965,855_1_23
12196966,855_1_23
